"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"H160X27M.04",1.77463289294572e-08,1.65712049990796e-06,0.407180080675564,1.79736659629172e-06,4.46092846107839e-05,2.657317198608e-08,7.50170248038461e-10,3.56567221009379e-05,1.07967254522566e-05,1.46358810287857e-18,0.592725344254561,1.27809440886835e-08,4.00264702640907e-19
"H160X3MV.04",4.67850409407961e-32,1.4222630655962e-19,5.07264556770866e-07,1.44917332194069e-21,0.0151630857734698,0.000717086047128027,1.62590235124846e-15,3.92316990878495e-06,4.0011530441454e-23,8.7000829625474e-07,0.00285976256600954,1.20285723260986e-23,0.981254765170629
"J160RTZZ.04",0.002633673706595,0.993539114014235,0.000147222892150166,0.00286611513870843,8.43127776892068e-13,5.53221354033664e-07,1.19571706615035e-08,1.28761393091161e-11,1.43024090640146e-10,7.94718005346389e-20,0.000813291332349973,1.75806920674832e-08,1.509141024271e-15
"J160T24S.04",2.01931165939106e-32,6.96914689149465e-26,7.83218877595484e-06,7.68127155462027e-24,0.9951694280604,8.29380336239051e-09,4.15205618236812e-18,0.0048167927555993,3.7169898072498e-21,8.10601155557922e-18,5.93869670495604e-06,4.97794102903496e-20,4.7164630908738e-12
"J160T628.04",5.25676559612899e-05,0.00577652531422809,3.54774251971444e-05,4.02435783342771e-07,1.89188153464122e-19,3.48256918920568e-17,5.24302165996724e-13,1.19971403293301e-14,4.23866564128795e-11,2.11231099270887e-25,5.33950405074594e-15,0.994135027125902,9.47066015125469e-37
"J160T9LV.04",2.95741095395394e-06,4.63411928631023e-05,0.000101346714249625,0.829787910714177,1.71300137507472e-27,0.170045902315492,4.03431124833353e-11,7.11831236874507e-16,1.55317105691995e-05,1.00699684368275e-10,3.90669863231052e-26,1.43601272505127e-10,9.65705081655011e-09
"J160TFL8.04",0.00856951621406202,8.20980831764969e-06,0.0349536523969969,0.953794717430252,3.47124642282333e-10,0.00206775519805371,1.51957655568568e-10,1.14545979676028e-13,0.000595765566256592,5.3262416981169e-07,9.83713814434336e-06,5.73077981545422e-09,7.39377063722467e-09
"J160TJ4B.04",3.62217632392037e-08,1.39178934164777e-07,0.0149210633585369,3.32550559556612e-06,1.95246497659846e-15,0.966084106998483,2.68314303835423e-14,2.94120519075336e-13,7.74335765065059e-09,0.0187590086474587,2.95636304994182e-14,5.21708366527728e-12,0.000232312340301462
"J160TLV2.04",6.95101351874268e-12,1.09256500142501e-06,0.00324754849973025,1.04657961436226e-05,2.429894507938e-08,0.954792307668034,1.10005504536907e-10,3.2024938219418e-11,1.15880370471944e-13,2.20225045942284e-10,0.000179971738568768,4.25153582803793e-12,0.0417685890600025
"J160TMS4.04",1.74267209347793e-07,5.83243492974969e-06,0.000607927716142153,0.00119258024743548,2.85936606511645e-18,0.998070719787855,4.54482769590809e-11,6.85876388095016e-14,2.54095745955553e-07,1.67111866127377e-06,6.4857299035536e-17,1.33601785223033e-10,0.000120840152902274
"J160TQGY.04",3.49504268025948e-18,3.15690685215955e-12,0.00696652835929935,1.38183485673235e-10,1.27096868129724e-05,0.682227614769323,1.36860566669407e-15,3.474084071126e-10,6.40251587169499e-11,0.0229591410285997,1.69013122706722e-08,4.51851731312451e-16,0.287833988701877
"J160V0B8.04",6.60957527862956e-14,0.000987786467579756,0.000379246965298277,0.00126625885932953,2.93755700027947e-13,5.09957188213007e-06,0.26755348949396,0.729808117481202,6.06148021434001e-14,1.64533487637609e-10,9.48455080567614e-10,4.73390263089206e-11,6.61576606588471e-18
"J160V5NQ.04",7.2132089732617e-24,9.72980761363731e-17,0.00101628566003361,5.82845417306373e-20,0.998915442581736,2.17722097006608e-17,4.12185104232126e-27,2.03335795692392e-11,2.50669375758461e-13,1.59049626395103e-20,6.82717376461911e-05,3.37376897425599e-18,1.60525544262761e-23
"J160VFWN.04",7.85056046821014e-29,2.388258138602e-14,4.75437347012238e-08,1.20577835815757e-17,3.52098431799169e-06,0.000404453824829723,6.44795759039642e-09,0.0397800848166882,1.76348321264478e-23,5.5908678038922e-08,7.46529136090407e-08,5.79659933018223e-24,0.959811755820856
"J160VL5R.04",8.17142284203269e-32,7.94108996604243e-21,6.47616372266114e-10,7.53095407076237e-21,6.02466948583902e-11,4.15844919983383e-07,3.09919806396612e-22,2.22834430568214e-13,1.20277557260486e-18,7.39277257708543e-15,4.14094371815484e-15,8.49737321167252e-26,0.999999583446982
"J160VYGS.04",0.00213115052295418,0.991033486469199,0.00531540713896443,1.49837474185609e-05,1.97086716344478e-10,7.76300089252147e-16,1.58408022892208e-13,1.56697452279285e-14,3.89232995840486e-09,1.30341025845493e-22,0.00150484750569188,1.20526180462417e-07,5.67178342255315e-31
"J160W3HD.04",1.49282457149709e-14,9.18691135504507e-07,0.0683965493741716,5.50733735037571e-10,0.0012610122706111,0.0167577297683509,3.19630201698197e-09,6.19274776726989e-05,2.28713586469947e-13,9.16461373303393e-14,0.913511474705572,1.83641817277556e-12,1.03839632782935e-05
"J160WDFZ.04",2.62011381293169e-32,1.03388758537557e-18,7.85913077971692e-10,7.55910235229681e-18,1.00909460188082e-07,5.48381561692045e-06,4.08437231051151e-11,0.00346723465161086,1.08598829654227e-22,6.11214234740782e-05,3.13594096179205e-10,2.11804767264994e-24,0.996466058059487
"J160WDZZ.04",9.95875392946185e-35,6.98594822465619e-22,1.15718453230896e-09,2.79931914668086e-27,0.989335588469544,6.77499774986358e-18,1.38700371520846e-20,5.39207671997828e-07,9.14064804703486e-25,4.70295333184948e-21,0.010663871165599,6.30374976857243e-28,6.1809183382213e-21
"J160WLVR.04",1.262265760797e-09,3.36174100622663e-06,0.000272037092249715,0.00350099724800985,3.52246053293895e-30,0.996222622986999,1.45124181612812e-11,8.2394377460093e-13,9.08367923570475e-07,2.33752287391655e-17,3.7469642525434e-32,7.09430069126222e-08,3.43202313445185e-10
"J160WZMT.04",6.1646559026455e-24,5.38305510729882e-17,8.65509081560351e-06,3.95265519392949e-16,7.20201929024795e-06,0.00458090112609868,9.45793908064033e-20,1.74657455825626e-11,8.07319382291937e-14,9.89994369591828e-15,2.31419784771485e-07,1.21861045392529e-21,0.995403010326454
"K160RKN5.04",3.03744789459732e-06,0.978776904734014,9.87776052287345e-05,0.00999766777077455,1.35539547800615e-11,3.22619064744703e-09,2.64624079635252e-07,3.78408899409958e-10,8.55961469596404e-13,2.67175629043473e-18,0.0111233432254616,9.73537578864449e-10,1.37628059753012e-21
"K160S0RP.04",0.0657553126199117,0.827351590056962,0.0980173804673245,0.000103331077831082,3.78275854912825e-08,1.1239222429144e-12,1.85435549338749e-12,4.32908238323512e-12,1.07387426372727e-07,2.06105233048084e-19,0.00132216402022711,0.00745007653542493,3.14384179219444e-25
"K160T23W.04",0.0405801386392131,0.958589790861256,0.000747255617785689,2.26162945549428e-05,1.73720689091796e-12,7.23102069170454e-17,8.72849469329769e-14,4.33670770424494e-16,7.07007939829019e-10,7.13914886978265e-24,6.00804178831067e-05,1.17460474745574e-07,6.04818383655953e-33
"K160T32G.04",4.36049766990156e-06,8.92368462219372e-05,0.0273324036177316,4.97241075883858e-08,2.94529660136637e-08,2.64896689403698e-14,1.89643315856463e-13,4.82226206253687e-11,3.51944754155624e-10,1.03235675875411e-21,0.000109448080891975,0.972464471380027,8.72716060318843e-29
"K160TCGB.04",4.91408729142606e-05,0.00267626560151393,4.875504377473e-07,0.996565945648729,1.9947615228454e-36,0.000708090316953697,4.40576470431321e-10,2.0302986089254e-18,1.06524656253003e-10,6.93073736886841e-08,3.89374273735056e-35,1.54966319426506e-10,1.05211042431252e-14
